merged_sample_name,Read1_file,input,filtered,denoised,merged,tabled,nonchim,Sample,Site,Oxygen,Glucose,Label (13C),Hours,TNA ext. Date,TNA ext. batch,PCR date,PCR batch,Sample no.,Fraction no.,Density (old_calc),Control,16S copies,Density (nD-TC),Density (g ml-1),Library size,Density zone
Roey-001-AP3-3_S134,Roey-001-AP3-3_S134_L001_R1_001_noPrimers.fastq.gz,14975,14681,14455,13677,13563,13257,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,3,1.83,FALSE,12540.02,1.3742,1.842042838,13276,Heavy
Roey-002-AP3-4_S135,Roey-002-AP3-4_S135_L001_R1_001_noPrimers.fastq.gz,13411,13051,12833,11844,11713,11436,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,4,1.825,FALSE,5902.31,1.374,1.835711293,11412,Heavy
Roey-003-AP3-5_S136,Roey-003-AP3-5_S136_L001_R1_001_noPrimers.fastq.gz,24724,24248,23943,22632,22565,20997,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,5,1.8225,FALSE,7193.93,1.3739,1.83254552,20993,Heavy
Roey-004-AP3-6_S137,Roey-004-AP3-6_S137_L001_R1_001_noPrimers.fastq.gz,26743,26240,25855,23807,23736,21391,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,6,1.8175,FALSE,35693.96,1.3737,1.826213976,21468,Heavy
Roey-005-AP3-7_S138,Roey-005-AP3-7_S138_L001_R1_001_noPrimers.fastq.gz,24061,23580,23141,20664,20618,18671,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,7,1.8125,FALSE,57143.17,1.3735,1.819882431,18711,Heavy
Roey-006-AP3-8_S139,Roey-006-AP3-8_S139_L001_R1_001_noPrimers.fastq.gz,27975,27463,26999,24169,24115,21753,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,8,1.8075,FALSE,61926.67,1.3733,1.813550886,21836,Heavy
Roey-007-AP3-9_S140,Roey-007-AP3-9_S140_L001_R1_001_noPrimers.fastq.gz,31538,30979,30290,26150,26099,23138,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,9,1.8025,FALSE,272136.75,1.3731,1.807219341,23178,Heavy
Roey-008-AP3-10_S141,Roey-008-AP3-10_S141_L001_R1_001_noPrimers.fastq.gz,27521,27037,26541,22494,22462,19632,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,10,1.7975,FALSE,869193.19,1.3729,1.800887796,19664,Heavy
Roey-009-AP3-11_S142,Roey-009-AP3-11_S142_L001_R1_001_noPrimers.fastq.gz,32436,31870,31166,26005,25990,21705,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,11,1.795,FALSE,1561472.5,1.3728,1.797722024,21750,Heavy
Roey-010-AP3-12_S143,Roey-010-AP3-12_S143_L001_R1_001_noPrimers.fastq.gz,29822,29320,28531,23323,23309,18597,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,12,1.79,FALSE,3561393.5,1.3726,1.791390479,18611,Light
Roey-011-AP3-13_S144,Roey-011-AP3-13_S144_L001_R1_001_noPrimers.fastq.gz,28408,27937,27315,23034,23023,19252,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,13,1.7875,FALSE,8921456,1.3725,1.788224706,19265,Light
Roey-012-AP3-14_S145,Roey-012-AP3-14_S145_L001_R1_001_noPrimers.fastq.gz,3235,3181,3066,2401,2401,2048,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,14,1.7825,FALSE,14190331,1.3723,1.781893161,2048,Light
Roey-013-AP3-15_S146,Roey-013-AP3-15_S146_L001_R1_001_noPrimers.fastq.gz,22960,22335,21813,17855,17836,14887,AP3,Plesne,Oxic,Glucose,Labelled,12,11/07/2019,1,05/11/2019,1,3,15,1.7775,FALSE,487233.84,1.3721,1.775561616,14886,Light
