Aeration;Time (h);Site;Measurement;Value;Stat;Lgroup
Oxic;0;Plešné;CUEa;;;PLOA
Oxic;12;Plešné;CUEa;;;PLOA
Oxic;24;Plešné;CUEa;0.57;b;PLOA
Oxic;48;Plešné;CUEa;0.49;b;PLOA
Oxic;72;Plešné;CUEa;0.43;b;PLOA
Oxic;0;Čertovo;CUEa;;;CTOA
Oxic;12;Čertovo;CUEa;;;CTOA
Oxic;24;Čertovo;CUEa;0.32;ab;CTOA
Oxic;48;Čertovo;CUEa;0.17;a;CTOA
Oxic;72;Čertovo;CUEa;0.16;a;CTOA
Anoxic;0;Plešné;CUEa;;;PLAA
Anoxic;12;Plešné;CUEa;;;PLAA
Anoxic;24;Plešné;CUEa;0.22;a;PLAA
Anoxic;48;Plešné;CUEa;0.14;a;PLAA
Anoxic;216;Plešné;CUEa;0.14;a;PLAA
Anoxic;0;Čertovo;CUEa;;;CTAA
Anoxic;12;Čertovo;CUEa;;;CTAA
Anoxic;24;Čertovo;CUEa;0.09;a;CTAA
Anoxic;48;Čertovo;CUEa;0.16;a;CTAA
Anoxic;216;Čertovo;CUEa;0.3;a;CTAA
Oxic;0;Plešné;CUE;;;PLO
Oxic;12;Plešné;CUE;;;PLO
Oxic;24;Plešné;CUE;0.57;a;PLO
Oxic;48;Plešné;CUE;0.55;a;PLO
Oxic;72;Plešné;CUE;0.43;b;PLO
Oxic;0;Čertovo;CUE;;;CTO
Oxic;12;Čertovo;CUE;;;CTO
Oxic;24;Čertovo;CUE;0.35;a;CTO
Oxic;48;Čertovo;CUE;0.17;a;CTO
Oxic;72;Čertovo;CUE;0.16;a;CTO
Anoxic;0;Plešné;CUE;;;PLA
Anoxic;12;Plešné;CUE;;;PLA
Anoxic;24;Plešné;CUE;0.99;b;PLA
Anoxic;48;Plešné;CUE;0.98;b;PLA
Anoxic;216;Plešné;CUE;0.83;d;PLA
Anoxic;0;Čertovo;CUE;;;CTA
Anoxic;12;Čertovo;CUE;;;CTA
Anoxic;24;Čertovo;CUE;0.98;b;CTA
Anoxic;48;Čertovo;CUE;0.97;b;CTA
Anoxic;216;Čertovo;CUE;0.72;c;CTA
