"Aeration";"Site";"Time (h)";"C from CH2O found";"C from CHlostO";"C from CH2O found %";"MB from CH2O %";"CO2 from CH2O %";"WEC from CH2O %";"CH2O";"WEC from CH2O % + CHO"
"Oxic";"Plešné";"0";"100.52";"0";"100";"0";"0";"0";"100";"0"
"Oxic";"Plešné";"24";"78.6";"22";"78.2";"56.7";"21.2";"0.3";"0";"0.3"
"Oxic";"Plešné";"48";"76";"24.5";"75.6";"49.5";"25.9";"0.2";"0";"0.2"
"Oxic";"Plešné";"72";"58.7";"41.8";"58.4";"30.3";"28.1";"0";"0";"0"
"Oxic";"Čertovo";"0";"91.5";"0";"0";"0";"0";"0";"100";"0"
"Oxic";"Čertovo";"24";"39.8";"51.7";"43.5";"22.2";"15.3";"5.2";"0.8";"6"
"Oxic";"Čertovo";"48";"38.8";"52.8";"42.4";"15.1";"27.1";"0.2";"0";"0.2"
"Oxic";"Čertovo";"72";"40.3";"51.3";"44";"15";"29";"0";"0";"0"
"Anoxic";"Plešné";"0";"108.3";"0";"0";"0";"0";"0";"100";"0"
"Anoxic";"Plešné";"24";"87.3";"21";"80.6";"5.2";"0.6";"43.1";"31.7";"74.9"
"Anoxic";"Plešné";"48";"87.8";"20.5";"81.1";"10.2";"1";"39.7";"30.1";"69.8"
"Anoxic";"Plešné";"216";"56.7";"51.7";"52.3";"4.4";"2.9";"29.1";"15.9";"45"
"Anoxic";"Čertovo";"0";"91.1";;;"0";"0";"0";"100";"0"
"Anoxic";"Čertovo";"24";"70.8";"20.3";"77.7";"9";"1.6";"45.8";"21.3";"67.1"
"Anoxic";"Čertovo";"48";"73.4";"17.8";"80.5";"18.4";"2.5";"39.8";"19.7";"59.6"
"Anoxic";"Čertovo";"216";"54.2";"36.9";"59.5";"22.4";"7";"22.9";"7.2";"30.1"
