Time (h);Site;Aeration;New biomass;SD;SEM;Method
0.5;Plešné;Oxic;6.749;1.788;1.264;d13C
24;Plešné;Oxic;17.291;1.068;0.755;d13C
48;Plešné;Oxic;11.844;2.105;1.488;d13C
72;Plešné;Oxic;23.129;9.348;6.610;d13C
0.5;Čertovo;Oxic;1.993;0.224;0.158;d13C
24;Čertovo;Oxic;52.117;3.366;2.380;d13C
48;Čertovo;Oxic;68.213;1.293;0.915;d13C
72;Čertovo;Oxic;39.878;5.522;3.905;d13C
0.5;Plešné;Anoxic;0.011;0.011;0.008;d13C
24;Plešné;Anoxic;0.012;0.011;0.008;d13C
48;Plešné;Anoxic;0.025;0.025;0.017;d13C
216;Plešné;Anoxic;0.217;0.108;0.076;d13C
0.5;Čertovo;Anoxic;0.032;0.009;0.006;d13C
24;Čertovo;Anoxic;0.025;0.009;0.006;d13C
48;Čertovo;Anoxic;0.022;0.007;0.005;d13C
216;Čertovo;Anoxic;0.087;0.015;0.010;d13C
0.5;Plešné;Oxic;8.198;2.113;1.494;d2H
24;Plešné;Oxic;22.901;1.913;1.352;d2H
48;Plešné;Oxic;15.373;3.122;2.207;d2H
72;Plešné;Oxic;29.268;11.824;8.361;d2H
0.5;Čertovo;Oxic;2.682;0.228;0.161;d2H
24;Čertovo;Oxic;56.358;3.989;2.821;d2H
48;Čertovo;Oxic;91.650;1.223;0.865;d2H
72;Čertovo;Oxic;57.900;11.557;8.172;d2H
0.5;Plešné;Anoxic;0.055;0.016;0.011;d2H
24;Plešné;Anoxic;0.123;0.019;0.014;d2H
48;Plešné;Anoxic;0.189;0.023;0.017;d2H
216;Plešné;Anoxic;0.035;0.010;0.007;d2H
0.5;Čertovo;Anoxic;0.249;0.020;0.014;d2H
24;Čertovo;Anoxic;0.119;0.014;0.010;d2H
48;Čertovo;Anoxic;0.210;0.007;0.005;d2H
216;Čertovo;Anoxic;0.265;0.009;0.006;d2H
0.5;Plešné;Oxic;NA;NA;NA;Fum
24;Plešné;Oxic;56.873;47.270;11.818;Fum
48;Plešné;Oxic;49.631;43.796;10.949;Fum
72;Plešné;Oxic;43.310;43.016;10.754;Fum
0.5;Čertovo;Oxic;NA;NA;NA;Fum
24;Čertovo;Oxic;27.240;25.485;6.371;Fum
48;Čertovo;Oxic;15.283;16.774;4.193;Fum
72;Čertovo;Oxic;14.794;17.426;4.356;Fum
0.5;Plešné;Anoxic;NA;NA;NA;Fum
24;Plešné;Anoxic;19.120;13.051;3.263;Fum
48;Plešné;Anoxic;11.492;6.901;1.725;Fum
216;Plešné;Anoxic;8.259;7.393;1.848;Fum
0.5;Čertovo;Anoxic;NA;NA;NA;Fum
24;Čertovo;Anoxic;8.086;6.183;1.546;Fum
48;Čertovo;Anoxic;16.558;16.160;4.040;Fum
216;Čertovo;Anoxic;19.210;16.924;4.231;Fum
