Number;Code;Aeration;Site;Time (h);Quinic;Lactic;Acetic;Propionic;Formic;Iso-butyric;Butyric;Pyruvic;Adipic;Oxalic;Succinic;OAtot
1;AP2C;Oxic;Plešné;0;0;0.01041;0.01463;0;0.04627;0;0.08872;0;0;0.0145;0;0.17453
2;AP3C;Oxic;Plešné;0;0;0.01033;0.01261;0;0.04208;0;0.09945;0;0;0.01447;0;0.17895
3;AP9;Oxic;Plešné;24;0;0.01809;0.00965;0;0.0435;0;0;0;0;0.01277;0;0.08401
4;AP10;Oxic;Plešné;24;0;0.29922;0.01215;0;0.39111;0;0;0;0;0.01106;0;0.71353
5;AP13;Oxic;Plešné;48;0;0.0104;0.00839;0;0.22216;0;0;0;0;0.01102;0;0.25196
6;AP14;Oxic;Plešné;48;0;0.01045;0.01586;0.00836;0.4704;0;0;0;0;0.00977;0;0.51484
7;AP17;Oxic;Plešné;72;0;0.01603;0.03732;0.01294;0.7087;0;0;0;0;0.01047;0;0.78547
8;AP18;Oxic;Plešné;72;0;0.0104;0.03185;0.01528;0.65912;0;0;0;0;0.00829;0;0.72493
9;AC1C;Oxic;Čertovo;0;0;0.01515;0.00694;0;0.04537;0;0.11919;0;0;0.01257;0;0.19922
10;AC2C;Oxic;Čertovo;0;0;0.01515;0.00602;0;0.04109;0;0.06451;0;0;0.01171;0;0.13848
11;AC1;Oxic;Čertovo;0;0;0.01523;0.00613;0;0.05982;0;0.0568;0;0;0.00374;0;0.14171
12;AC2;Oxic;Čertovo;0;0;0.01505;0.00596;0;0.06057;0;0.08795;0;0;0.00726;0;0.17679
13;AC9;Oxic;Čertovo;24;0;0.01526;0.00519;0;0.06647;0;0;0;0;0.00729;0;0.09421
14;AC10;Oxic;Čertovo;24;0;0.02513;0.00385;0;0.0646;0;0;0;0;0.00711;0;0.1007
15;AC13;Oxic;Čertovo;48;0;0;0.04617;0;0.48154;0;0;0;0;0.01146;0;0.53917
16;AC14;Oxic;Čertovo;48;0;0;0.03132;0;0.5117;0;0;0;0;0.00913;0;0.55216
17;AC17;Oxic;Čertovo;72;0;0;0.00318;0;0.40706;0;0;0;0;0.01032;0;0.42056
18;AC18;Oxic;Čertovo;72;0;0;0.00262;0;0.45979;0;0;0;0;0.00871;0;0.47112
19;NP1C;Anoxic;Plešné;0;0.02065;0.0911;4.45034;0.09925;0.45442;0.0195;0.12996;0.02582;0.04683;0.00703;0.03194;5.37686
20;NP2C;Anoxic;Plešné;0;0.02218;0.10608;4.46952;0.10398;0.45957;0.02351;0.14038;0.02764;0.0451;0.00365;0.02328;5.42489
21;NP1;Anoxic;Plešné;0;0.01545;0.05066;3.98556;0.11434;0.7423;0.03011;0.12352;0.01791;0.03202;0.00533;0;5.11721
22;NP2;Anoxic;Plešné;0;0.01606;0.02855;4.03761;0.09669;0.41848;0.02361;0.10306;0.02214;0.0374;0.00492;0;4.78851
23;NP9;Anoxic;Plešné;24;0.01496;0.07986;4.1227;0.10495;0.74292;0.02904;0.1163;0.01744;0.02832;0.005;0;5.2615
24;NP10;Anoxic;Plešné;24;0.01683;0.09437;4.21373;0.10527;0.79946;0.03439;0.11974;0.02177;0.03202;0.00593;0;5.4435
25;NP13;Anoxic;Plešné;48;0.01789;0.04044;5.44728;0.12363;0.56351;0.04166;0.21395;0.02249;0.04018;0.00762;0;6.51867
26;NP14;Anoxic;Plešné;48;0.01303;0.03832;5.79657;0.12948;0.55705;0.04355;0.21751;0.02443;0.03871;0.00716;0;6.86581
27;NP17;Anoxic;Plešné;216;0.03671;0.05683;9.49184;0.17044;0.89256;0.05639;0.42953;0.03021;0.07738;0.0118;0.0425;11.29618
28;NP18;Anoxic;Plešné;216;0.03395;0.05919;9.33676;0.16656;0.45974;0.03615;0.41729;0.02991;0.08115;0.00842;0.03958;10.66871
29;NC1C;Anoxic;Čertovo;0;0;0;0.19279;0;0.1673;0.00513;0.03116;0;0;0.03797;0;0.43434
30;NC2C;Anoxic;Čertovo;0;0;0;0.09758;0;0.08417;0.00585;0.03434;0;0;0.03737;0;0.25931
31;NC1;Anoxic;Čertovo;0;0;0;0.01527;0;0.25503;0.00179;0.03717;0;0;0.02253;0;0.33179
32;NC2;Anoxic;Čertovo;0;0;0;0.01306;0;0.43989;0.00166;0.0344;0;0;0.01831;0;0.50732
33;NC9;Anoxic;Čertovo;24;0;0.01654;0.99501;0.01913;0.36601;0.00791;0;0;0;0.02667;0;1.43128
34;NC10;Anoxic;Čertovo;24;0;0.01665;1.08336;0.02106;0.42669;0.00719;0;0;0;0.02808;0;1.58302
35;NC13;Anoxic;Čertovo;48;0;0.01766;1.85269;0.03875;0.47101;0.02216;0;0;0;0.02672;0;2.42899
36;NC14;Anoxic;Čertovo;48;0;0.02884;2.1018;0.05635;0.51919;0.02352;0.05083;0.01642;0;0.02456;0;2.8215
37;NC17;Anoxic;Čertovo;216;0.01176;0.04373;7.79621;0.87322;0.63071;0.13848;5.34104;0.0313;0;0.05734;0;14.92379
38;NC19;Anoxic;Čertovo;216;0.01197;0.04208;7.70893;0.89645;0.66759;0.19418;7.33417;0.03057;0;0.05636;0;16.94229
