ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_1	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	98	98	98	98
Seq_2	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	100	100	100	100	100	88	88
Seq_3	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	96	96	96	96
Seq_4	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	52	52
Seq_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	52	52
Seq_7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	98	94
Seq_8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	100	96	23
Seq_9	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus	NA	100	100	100	100	100	100	100
Seq_10	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	100	100	100
Seq_11	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	98	98	98	98
Seq_12	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	100	100	100
Seq_13	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	100	100	100
Seq_14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	NA	100	100	100	100	100	67	67
Seq_15	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	100	100	22
Seq_16	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_17	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	98	98	98	98
Seq_18	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	96	96	96	96
Seq_19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	NA	100	100	100	100	93	66	66
Seq_21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	98	90	90
Seq_22	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	99	99	99
Seq_23	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_25	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	100	100	100	100
Seq_26	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Occallatibacter	NA	100	100	100	100	100	78	78
Seq_27	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	100	100	100
Seq_28	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	100
Seq_29	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	NA	NA	100	100	100	100	100	100	100
Seq_30	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_31	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	100	100	100
