merged_sample_name	sample_name	Read1_file	input	filtered	denoised	merged	tabled	nonchim
Roey-001-AP3-3_S134_L001	Roey-001-AP3-3_S134_L001	Roey-001-AP3-3_S134_L001_R1_001_noPrimers.fastq.gz	14975	14681	14470	13702	13592	13276
Roey-002-AP3-4_S135_L001	Roey-002-AP3-4_S135_L001	Roey-002-AP3-4_S135_L001_R1_001_noPrimers.fastq.gz	13411	13051	12842	11818	11687	11412
Roey-003-AP3-5_S136_L001	Roey-003-AP3-5_S136_L001	Roey-003-AP3-5_S136_L001_R1_001_noPrimers.fastq.gz	24724	24248	23979	22636	22569	20993
Roey-004-AP3-6_S137_L001	Roey-004-AP3-6_S137_L001	Roey-004-AP3-6_S137_L001_R1_001_noPrimers.fastq.gz	26743	26240	25894	23844	23773	21468
Roey-005-AP3-7_S138_L001	Roey-005-AP3-7_S138_L001	Roey-005-AP3-7_S138_L001_R1_001_noPrimers.fastq.gz	24061	23580	23198	20671	20625	18711
Roey-006-AP3-8_S139_L001	Roey-006-AP3-8_S139_L001	Roey-006-AP3-8_S139_L001_R1_001_noPrimers.fastq.gz	27975	27463	27044	24243	24192	21836
Roey-007-AP3-9_S140_L001	Roey-007-AP3-9_S140_L001	Roey-007-AP3-9_S140_L001_R1_001_noPrimers.fastq.gz	31538	30979	30357	26173	26122	23178
Roey-008-AP3-10_S141_L001	Roey-008-AP3-10_S141_L001	Roey-008-AP3-10_S141_L001_R1_001_noPrimers.fastq.gz	27521	27037	26562	22527	22494	19664
Roey-009-AP3-11_S142_L001	Roey-009-AP3-11_S142_L001	Roey-009-AP3-11_S142_L001_R1_001_noPrimers.fastq.gz	32436	31870	31220	26057	26042	21750
Roey-010-AP3-12_S143_L001	Roey-010-AP3-12_S143_L001	Roey-010-AP3-12_S143_L001_R1_001_noPrimers.fastq.gz	29822	29320	28604	23349	23335	18611
Roey-011-AP3-13_S144_L001	Roey-011-AP3-13_S144_L001	Roey-011-AP3-13_S144_L001_R1_001_noPrimers.fastq.gz	28408	27937	27379	23074	23063	19265
Roey-012-AP3-14_S145_L001	Roey-012-AP3-14_S145_L001	Roey-012-AP3-14_S145_L001_R1_001_noPrimers.fastq.gz	3235	3181	3078	2403	2403	2048
Roey-013-AP3-15_S146_L001	Roey-013-AP3-15_S146_L001	Roey-013-AP3-15_S146_L001_R1_001_noPrimers.fastq.gz	22960	22335	21860	17850	17831	14886
Roey-014-AP3-16_S147_L001	Roey-014-AP3-16_S147_L001	Roey-014-AP3-16_S147_L001_R1_001_noPrimers.fastq.gz	26200	25589	25062	20553	20538	16715
Roey-015-AP3-17_S148_L001	Roey-015-AP3-17_S148_L001	Roey-015-AP3-17_S148_L001_R1_001_noPrimers.fastq.gz	28951	28436	27940	23445	23438	19990
Roey-016-AP5-4_S149_L001	Roey-016-AP5-4_S149_L001	Roey-016-AP5-4_S149_L001_R1_001_noPrimers.fastq.gz	26123	25576	25152	22341	22196	19332
Roey-017-AP5-5_S150_L001	Roey-017-AP5-5_S150_L001	Roey-017-AP5-5_S150_L001_R1_001_noPrimers.fastq.gz	24951	24435	24059	21861	21732	19403
Roey-018-AP5-6_S151_L001	Roey-018-AP5-6_S151_L001	Roey-018-AP5-6_S151_L001_R1_001_noPrimers.fastq.gz	22260	21869	21440	19125	19054	16546
Roey-019-AP5-7_S152_L001	Roey-019-AP5-7_S152_L001	Roey-019-AP5-7_S152_L001_R1_001_noPrimers.fastq.gz	24752	24182	23739	20366	20305	17464
Roey-020-AP5-8_S153_L001	Roey-020-AP5-8_S153_L001	Roey-020-AP5-8_S153_L001_R1_001_noPrimers.fastq.gz	23429	23025	22592	19538	19507	16752
Roey-021-AP5-9_S154_L001	Roey-021-AP5-9_S154_L001	Roey-021-AP5-9_S154_L001_R1_001_noPrimers.fastq.gz	27806	27351	26808	23127	23084	19959
Roey-022-AP5-10_S155_L001	Roey-022-AP5-10_S155_L001	Roey-022-AP5-10_S155_L001_R1_001_noPrimers.fastq.gz	18359	18007	17607	14649	14638	12389
Roey-023-AP5-11_S156_L001	Roey-023-AP5-11_S156_L001	Roey-023-AP5-11_S156_L001_R1_001_noPrimers.fastq.gz	29582	29046	28409	23073	23055	18913
Roey-024-AP5-12_S157_L001	Roey-024-AP5-12_S157_L001	Roey-024-AP5-12_S157_L001_R1_001_noPrimers.fastq.gz	34067	33345	32738	26488	26477	21844
Roey-025-AP5-13_S158_L001	Roey-025-AP5-13_S158_L001	Roey-025-AP5-13_S158_L001_R1_001_noPrimers.fastq.gz	23962	23532	22719	17453	17451	13632
Roey-026-AP5-14_S159_L001	Roey-026-AP5-14_S159_L001	Roey-026-AP5-14_S159_L001_R1_001_noPrimers.fastq.gz	28713	28192	27408	22130	22127	18159
Roey-027-AP5-15_S160_L001	Roey-027-AP5-15_S160_L001	Roey-027-AP5-15_S160_L001_R1_001_noPrimers.fastq.gz	24742	24326	23845	19393	19389	15973
Roey-028-AP5-16_S161_L001	Roey-028-AP5-16_S161_L001	Roey-028-AP5-16_S161_L001_R1_001_noPrimers.fastq.gz	24560	24051	23536	18688	18684	15416
Roey-029-AP5-17_S162_L001	Roey-029-AP5-17_S162_L001	Roey-029-AP5-17_S162_L001_R1_001_noPrimers.fastq.gz	19979	19594	19165	15617	15613	13315
Roey-030-AP5-18_S163_L001	Roey-030-AP5-18_S163_L001	Roey-030-AP5-18_S163_L001_R1_001_noPrimers.fastq.gz	16186	15769	15331	11733	11732	9571
Roey-031-AP7-2_S164_L001	Roey-031-AP7-2_S164_L001	Roey-031-AP7-2_S164_L001_R1_001_noPrimers.fastq.gz	20629	20338	20096	18926	18845	18024
Roey-032-AP7-3_S165_L001	Roey-032-AP7-3_S165_L001	Roey-032-AP7-3_S165_L001_R1_001_noPrimers.fastq.gz	19485	19121	18758	17075	17035	15858
Roey-033-AP7-4_S166_L001	Roey-033-AP7-4_S166_L001	Roey-033-AP7-4_S166_L001_R1_001_noPrimers.fastq.gz	25148	24677	24249	21698	21649	19771
Roey-034-AP7-5_S167_L001	Roey-034-AP7-5_S167_L001	Roey-034-AP7-5_S167_L001_R1_001_noPrimers.fastq.gz	23047	22654	22279	19521	19493	17427
Roey-035-AP7-6_S168_L001	Roey-035-AP7-6_S168_L001	Roey-035-AP7-6_S168_L001_R1_001_noPrimers.fastq.gz	30422	29884	29309	25217	25179	22140
Roey-036-AP7-7_S169_L001	Roey-036-AP7-7_S169_L001	Roey-036-AP7-7_S169_L001_R1_001_noPrimers.fastq.gz	22980	22567	22120	19339	19318	17275
Roey-037-AP7-8_S170_L001	Roey-037-AP7-8_S170_L001	Roey-037-AP7-8_S170_L001_R1_001_noPrimers.fastq.gz	20123	19751	19354	16187	16170	14078
Roey-038-AP7-9_S171_L001	Roey-038-AP7-9_S171_L001	Roey-038-AP7-9_S171_L001_R1_001_noPrimers.fastq.gz	25028	24601	23970	20096	20072	16860
Roey-039-AP7-10_S172_L001	Roey-039-AP7-10_S172_L001	Roey-039-AP7-10_S172_L001_R1_001_noPrimers.fastq.gz	23950	23561	23092	19295	19277	16175
Roey-040-AP7-11_S173_L001	Roey-040-AP7-11_S173_L001	Roey-040-AP7-11_S173_L001_R1_001_noPrimers.fastq.gz	21831	21450	20985	17320	17312	14441
