ASV,Kingdom,Phylum,Class,Order,Family,Genus,Site,Hours,Oxygen,Label,baseMean,log2FoldChange,lfcSE,pvalue,padj
Seq_1605,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,Unclassified,Plešné,12 h,Anoxic,Labelled,3.1308885537388087,1.5003312896382133,1.4749101300436673,6.244359158589788e-4,0.0381448896426898
Seq_2125,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Plešné,12 h,Anoxic,Labelled,3.7680928240587637,1.8257926133767717,1.4003894585470231,2.693814864724677e-4,0.02365506178086357
Seq_1545,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,Plešné,12 h,Anoxic,Labelled,5.0555576849345405,3.373505923175371,2.036225775810302,4.9712281472952606e-5,0.0058204796224582
Seq_1143,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Plešné,12 h,Anoxic,Labelled,6.37278547992578,4.013338883342079,1.4541829358377891,8.852853043654023e-6,0.0024876517052667803
Seq_361,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Plešné,12 h,Anoxic,Labelled,6.504598431934883,1.6833568251603617,1.1838615285828522,2.3874734785207417e-4,0.02236266824881095
Seq_464,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Plešné,12 h,Anoxic,Labelled,7.624534761647088,1.2776612320303304,1.7017799973855539,8.843105375266902e-4,0.047786780970192295
Seq_1796,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,Unclassified,Plešné,12 h,Anoxic,Labelled,10.93366040375336,3.956222737368241,2.0728656240641103,2.3140658946542458e-5,0.004435829400072436
Seq_904,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,Plešné,12 h,Anoxic,Labelled,12.027765913376223,0.9375257853596788,0.30965572517989626,5.824702588738919e-4,0.03719866880535537
Seq_783,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Lawsonella,Plešné,12 h,Anoxic,Labelled,13.661779170076915,1.3055245095471133,1.4270974631208768,9.373144194925685e-4,0.04877506516248366
Seq_735,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Plešné,12 h,Anoxic,Labelled,15.901978367122087,1.263169699675051,0.5638572311057104,1.0668206693608712e-4,0.010706307431800172
