Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Certovo & Anoxic & Labelled,Seq_17,712.399402165598,0.283036411266529,0.0515474153269327,5.490797345927197,2.000616243882495e-8,1.596491762618231e-5
Certovo & Anoxic & Labelled,Seq_55,151.23224938806948,0.48513755595531105,0.1199211104953361,4.045472510648396,2.610884658907639e-5,0.003453153678011761
Certovo & Anoxic & Labelled,Seq_104,108.63580227870307,0.5362588328156894,0.13838564245664173,3.8751045505584676,5.3289464962152884e-5,0.0056699990719730675
Certovo & Anoxic & Labelled,Seq_145,83.66260759649947,0.3565269240519233,0.11285482114876957,3.1591643176850708,7.911112738249291e-4,0.04533763231547481
Certovo & Anoxic & Labelled,Seq_153,61.827415519706435,0.9468314637716457,0.2175472213107811,4.352303183036441,6.73573957074006e-6,0.0014876565358170131
Certovo & Anoxic & Labelled,Seq_123,59.543876601984344,3.6776058415119346,0.7267692150408802,5.06021136476601,2.0939598708506726e-7,6.683919907755346e-5
Certovo & Anoxic & Labelled,Seq_199,46.034792071950946,3.7993347065472003,0.7247837249510197,5.242025414966315,7.941174372262624e-8,3.168528574532787e-5
Certovo & Anoxic & Labelled,Seq_376,39.21651328596365,0.4932525728826439,0.14167597617002892,3.481554080069856,2.4925655240153077e-4,0.020937550401728584
Certovo & Anoxic & Labelled,Seq_273,32.35357989645182,0.47482183802778477,0.1529834934464333,3.1037455566671457,9.55437949338419e-4,0.049189644101423124
Certovo & Anoxic & Labelled,Seq_452,28.562821705435997,0.42727699326103746,0.12472402339869867,3.4257794257902003,3.06519001399859e-4,0.02446021631170875
Certovo & Anoxic & Labelled,Seq_163,27.60735017483533,0.6393992914553039,0.14985797334871928,4.266701845536258,9.919200325851704e-6,0.001759004857784369
Certovo & Anoxic & Labelled,Seq_520,27.05700532395147,0.4751028378088817,0.1512668263852231,3.1408263739133577,8.423593850560377e-4,0.046358813053428836
Certovo & Anoxic & Labelled,Seq_513,26.495509744255106,0.5838609941187671,0.17304766117915066,3.3739895132955002,3.70435950316579e-4,0.028153132224060004
Certovo & Anoxic & Labelled,Seq_225,25.769953120863725,1.7654122695509813,0.5561152535306844,3.174543870794172,7.503610143369898e-4,0.04533763231547481
Certovo & Anoxic & Labelled,Seq_472,25.589089304806304,0.5438135766506405,0.1307012180358703,4.160738398791307,1.5861014296950074e-5,0.0025314178817932315
Certovo & Anoxic & Labelled,Seq_350,22.285458863373858,2.2660665869515935,0.7176571267683687,3.157589470553659,7.953970581662248e-4,0.04533763231547481
Certovo & Anoxic & Labelled,Seq_337,21.489367208079152,5.0824904055529885,0.7743912846275375,6.563207136296139,2.6331305786313953e-11,4.202476403495707e-8
