Comparison,ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Certovo & Anoxic & Labelled,Seq_123,59.543876601984344,3.6776058415119346,0.7267692150408802,4.702463685558967,1.2852047322457607e-6,0.0010696116384115344
Certovo & Anoxic & Labelled,Seq_199,46.034792071950946,3.7993347065472003,0.7247837249510197,4.883297713102465,5.216308563583815e-7,5.78836373605684e-4
Certovo & Anoxic & Labelled,Seq_337,21.489367208079152,5.0824904055529885,0.7743912846275375,6.2274595560208095,2.370295302793691e-10,7.890713063000198e-7
Certovo & Anoxic & Labelled,Seq_361,11.112617115223376,5.623072544778458,1.0719759419365926,5.002978457790506,2.8225625646714244e-7,4.698155388895586e-4
Certovo & Anoxic & Labelled,Seq_627,9.399836744355426,3.5753705511097236,0.8257288926003638,4.015083619841672,2.9712361195280112e-5,0.01648540840318125
Certovo & Anoxic & Labelled,Seq_1088,7.349947119925459,3.7123155633908493,0.9041850280598477,3.818151657298114,6.72276328311253e-5,0.03197154138497373
Certovo & Anoxic & Labelled,Seq_1545,3.115718333368138,4.2841308501533275,1.070188997228713,3.7602057772729274,8.488682331485321e-5,0.033864669250713124
Certovo & Anoxic & Labelled,Seq_2463,2.622126669265187,4.148469821026269,0.8873127809976578,4.382298896511143,5.871677369230219e-6,0.0039093627924334795
Certovo & Anoxic & Labelled,Seq_712,2.0496257009840226,3.652292225037499,0.9067269526921958,3.7412500146436822,9.155362669162455e-5,0.033864669250713124
Certovo & Oxic & Labelled,Seq_8,2264.4259010706633,4.4668292136040355,0.4126451074357828,10.194787573626368,1.0460068567441276e-24,5.834103243490372e-22
Certovo & Oxic & Labelled,Seq_15,1538.4868606533344,4.994804002100091,0.4495305887387935,10.532773788284562,3.050486343561346e-26,4.0742408386286115e-23
Certovo & Oxic & Labelled,Seq_20,1401.3924626941102,5.922352095593349,0.5384606900772728,10.51581331736726,3.652389814996514e-26,4.0742408386286115e-23
Certovo & Oxic & Labelled,Seq_44,524.480299356268,4.6116426874571745,0.4514692761837821,9.638845691208736,2.7400356722492165e-22,8.732885121125717e-20
Certovo & Oxic & Labelled,Seq_41,338.65545971851503,2.3233404546980254,0.3053741137667323,6.756762808894011,7.055445508211717e-12,6.558624553675142e-10
Certovo & Oxic & Labelled,Seq_49,323.96997217745235,5.6248326350334565,0.5174439447864266,10.367949396427424,1.734443153280027e-25,1.28984755832258e-22
Certovo & Oxic & Labelled,Seq_97,299.9356867879955,4.239713472870792,0.4027031026267894,9.882500151877515,2.479009268738988e-23,9.21778279759447e-21
Certovo & Oxic & Labelled,Seq_26,237.2575001015411,2.352377080865239,0.2740668857112521,7.634549046066437,1.1330610546650551e-14,1.6358383687785958e-12
Certovo & Oxic & Labelled,Seq_74,235.1732575975989,5.533025217295452,0.5607753035040487,9.403098147059149,2.64898138231245e-21,7.387346829923845e-19
Certovo & Oxic & Labelled,Seq_105,216.21851633296427,4.143514841496396,0.3823267742707042,10.157580119530673,1.5329572523250517e-24,6.840055259874381e-22
Certovo & Oxic & Labelled,Seq_122,174.57310617934755,4.027189940870856,0.4193892266313694,8.9825625019741,1.3226631299129738e-19,2.950861442835844e-17
